source,supplierName,sourceUrl,externalId,name,brand,category,unit,currency,price,quantity,isRegulated,notes
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_cds1_016sc_fg/","frezy_khirurgicheskie_cds1_016sc_fg","frezy khirurgicheskie cds1 016sc fg","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_cds1_018sc_fgl/","frezy_khirurgicheskie_cds1_018sc_fgl","frezy khirurgicheskie cds1 018sc fgl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_cds1_021c_fgl/","frezy_khirurgicheskie_cds1_021c_fgl","frezy khirurgicheskie cds1 021c fgl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_cds1_021sc_fgl/","frezy_khirurgicheskie_cds1_021sc_fgl","frezy khirurgicheskie cds1 021sc fgl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_cds1_023c_hp/","frezy_khirurgicheskie_cds1_023c_hp","frezy khirurgicheskie cds1 023c hp","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141_014_fgxl/","frezy_khirurgicheskie_h141_014_fgxl","frezy khirurgicheskie h141 014 fgxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141_018_fgxl/","frezy_khirurgicheskie_h141_018_fgxl","frezy khirurgicheskie h141 018 fgxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141_021_fgxl/","frezy_khirurgicheskie_h141_021_fgxl","frezy khirurgicheskie h141 021 fgxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141_023_fgxl/","frezy_khirurgicheskie_h141_023_fgxl","frezy khirurgicheskie h141 023 fgxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_023_hp/","frezy_khirurgicheskie_h141ax_023_hp","frezy khirurgicheskie h141ax 023 hp","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_023_ral/","frezy_khirurgicheskie_h141ax_023_ral","frezy khirurgicheskie h141ax 023 ral","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_023_raxl/","frezy_khirurgicheskie_h141ax_023_raxl","frezy khirurgicheskie h141ax 023 raxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_027_hp/","frezy_khirurgicheskie_h141ax_027_hp","frezy khirurgicheskie h141ax 027 hp","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_027_ral/","frezy_khirurgicheskie_h141ax_027_ral","frezy khirurgicheskie h141ax 027 ral","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_027_raxl/","frezy_khirurgicheskie_h141ax_027_raxl","frezy khirurgicheskie h141ax 027 raxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_031_hp/","frezy_khirurgicheskie_h141ax_031_hp","frezy khirurgicheskie h141ax 031 hp","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
