supplierSource,externalId,canonicalName,sourceUrl,productVariantId,cardStatus
"amdgroup","lm_aktivator_2_high_long_40_narrow_94240hln","LM-Активатор 2 HIGH LONG 40 NARROW 94240HLN","https://amdgroup.kz/catalog/high_/lm_aktivator_2_high_long_40_narrow_94240hln/","848be73c-cbb1-4214-a850-dd457f501176","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_high_long_50_narrow_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 2 HIGH LONG 50 NARROW для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/high_/lm_aktivator_2_high_long_50_narrow_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","ddf67627-5a72-4374-9c98-f10eaa5b6de6","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_high_long_60_narrow","LM-Активатор 2 HIGH LONG 60 NARROW","https://amdgroup.kz/catalog/high_/lm_aktivator_2_high_long_60_narrow/","2d936e66-6263-4f3d-bf0c-53b15449b227","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_high_long_60_narrow","LM-Активатор 2 HIGH LONG 60 NARROW","https://amdgroup.kz/catalog/high_/lm_aktivator_2_high_long_60_narrow/","4dd16559-db60-403e-9bd3-46c918bc48d2","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_high_long_65_narrow","LM-Активатор 2 HIGH LONG 65 NARROW","https://amdgroup.kz/catalog/high_/lm_aktivator_2_high_long_65_narrow/","1eba9d25-cc14-4418-b0c7-7f6841fd4372","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_high_long_65_narrow","LM-Активатор 2 HIGH LONG 65 NARROW","https://amdgroup.kz/catalog/high_/lm_aktivator_2_high_long_65_narrow/","9edddb99-19e1-4ddc-8a97-e239c54ab90e","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_high_short_45_narrow_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 2 HIGH SHORT 45 NARROW для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/high_/lm_aktivator_2_high_short_45_narrow_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","52935159-3515-4cf6-b615-092d53eda4df","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_high_short_45_narrow_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 2 HIGH SHORT 45 NARROW для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/high_/lm_aktivator_2_high_short_45_narrow_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","739c77c2-e444-46b6-b917-823310931171","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_high_short_50_narrow_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 2 HIGH SHORT 50 NARROW для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/high_/lm_aktivator_2_high_short_50_narrow_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","e9374ed8-c648-4eaa-adfc-d470b14df668","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_high_short_50_narrow_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 2 HIGH SHORT 50 NARROW для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/high_/lm_aktivator_2_high_short_50_narrow_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","238efcc9-7eeb-44a2-8974-3c682d9cca1c","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_high_short_60_narrow","LM-Активатор 2 HIGH SHORT 60 NARROW","https://amdgroup.kz/catalog/high_/lm_aktivator_2_high_short_60_narrow/","a6975347-ecbe-4f44-bd97-f316c3316b7e","DRAFT_REVIEW"
